category,brand,asin,revenue,units,bsr
Water Purifier,KENT,B008LN6156,1037220,118,20297
Water Purifier,HUL Pureit,B0C5Y1P38P,0,0,20317
Water Purifier,TATA Swach,B0746LH58R,181948,52,20348
Water Purifier,V-Guard,B0B5RLPY8C,823897,103,20401
Water Purifier,RAMA,B0B5HDDX2N,296175,75,20891
Water Purifier,AQUA LIBRA WITH DEVICE,B09N1NQKTB,288800,76,20948
Water Purifier,OZAT PURE WATER,B084V24C9X,124752,48,21917
Water Purifier,Aquaguard,B07YC8CFGN,179985,15,22355
Water Purifier,HUL Pureit,B00I8QV2VY,1189300,70,22385
Water Purifier,ROYAL AQUAFRESH,B092S563QV,151658,38,22495
Water Purifier,Blue Star,B0B9HCJ7F4,551931,69,22656
Water Purifier,KENT,B07NJ4V6R7,1744780,92,23085
Water Purifier,Aquaguard,B09NKS8Q2V,18616941,1359,2192
Water Purifier,AQUA D PURE,B0BJ6P3LSK,7136514,1386,598
Water Purifier,AQUA D PURE,B0B79QLL1K,5301490,1010,877
Water Purifier,KENT,B09F2FW4ZK,17118490,1010,1236
Water Purifier,HUL Pureit,B08BJN4MP3,9771302,698,1613
Water Purifier,Generic,B0CZB2ZPJK,0,0,2607
Rosemary,Parachute,B003NQESIS,6948690,23635,13
Rosemary,Parachute Advansed,B07DD2RZS4,1034660.2,11228,21
Rosemary,Soulflower,B078V9X189,10435488,24612,36
Rosemary,Soulflower,B06XFWVWMS,7120776,20462,65
Rosemary,Indulekha,B00S850C5C,2771440,9898,85
Rosemary,AVIMEE,B0B6W5KCRM,9274060,20161,99
Rosemary,Parachute,B07BDNGTYC,3148620.42,15177,125
Rosemary,Parachute Advansed,B09SLWMVCL,1996646,12637,183
Rosemary,Mamaearth,B0C6ML81SF,4508240,11990,189
Rosemary,Bajaj,B08PGDPPM4,4603050,14475,200
Rosemary,Navratna,B002ZVG95W,2785360,9410,232
Rosemary,Mamaearth,B0CGTZ7CW9,4089572,10964,251
Rosemary,BLUERAIN ENTERPRISE,B0CR6MRPKD,2661489,7851,255
Rosemary,Bajaj,B09G6GWPYP,1094100,7815,266
Rosemary,Bajaj,B0BVR6NHWM,2304068,9763,326
Rosemary,MARIYAS HERBAL HAIR CARE OIL,B0CZRWXV1K,0,0,338
Rosemary,UrbanBotanics,B07GWY28FZ,1463994,7746,382
Rosemary,Hair & Care,B00CBRJ6H8,1115383,4241,389
Rosemary,Khadi Natural,B09RPQWC7L,1077644,6571,398
Rosemary,DABUR,B0832ZWDHR,1207068,5917,399
Rosemary,Rey Naturals,B07BZN59BS,1138479,5721,438
Rosemary,Parachute,B003O7DXLO,628290,8055,459
Rosemary,PRATHAM,B0CT5XP93D,623658,3353,470
Rosemary,WOW,B07NDR2J4K,2543076,7614,473
Rosemary,UrbanBotanics,B07MSHC5FZ,2744784,7056,481
Rosemary,DABUR,B0B38NZYXN,1599477,7653,494
Rosemary,Organic Harvest,B0928X4Y6G,1676160,5820,548
Rosemary,KERALA ayurveda,B07F5NCTN2,1336800,4456,552
Rosemary,Pilgrim,B0CH8SHN9Z,845853,3397,628
Rosemary,DABUR,B013UQ11JE,621468,3396,659
Rosemary,Himalaya,B085W98FZC,807310,4249,662
Rosemary,Biotique,B00U8TQIY0,926730,4413,677
Rosemary,Parachute Advansed,B09QKNHJNC,1238910,6770,692
Rosemary,AVIMEE,B0BH4BV1VL,3374595,3571,713
Rosemary,Parachute Advansed,B09J5C7J7L,1188770,5885,726
Rosemary,Loma,B0CWTTF33F,2138412,6308,757
Rosemary,PRATHAM,B0CPM2NKLN,1781703,9427,758
Rosemary,WishCare,B074MJ3VX8,766106,3949,779
Rosemary,Rey Naturals,B077C4S9N1,453720,2280,793
Rosemary,Nat Habit,B09MTMX8ZN,924055,2915,740
Rosemary,Emami,B082CXT58C,547312.5,2919,860
Rosemary,Botanic Hearth,B0CXQ5LCVY,0,0,879
Rosemary,Kesh King,B07K2JHVRY,2263052,10828,933
Rosemary,Parachute Advansed,B00GMC02XK,205095,1695,1005
Rosemary,Parachute Advansed,B0CGM3H7SN,437465,2155,1040
Rosemary,Nat Habit,B09DS8BR7H,893080,2690,1035
Rosemary,L'OREAL PARIS,B0918FHY6P,2171520,1856,1076
Rosemary,VANSAAR,B01MFGFSYS,783442,2629,1093
Rosemary,Amazon Brand - Solimo,B0BR7KNH5N,417530,1942,1229
Rosemary,Ustraa,B07GR5M1VJ,1142304,2608,1269
Rosemary,sesa,B0828TBY68,485902,1913,1283
Rosemary,Neelambari Ayurvedic Hair Care,B09N97MGB9,1973277,2823,1291
Rosemary,PIMPOM PAATI,B0CLNYD5ZD,875700,2085,1294
Rosemary,BHUMIKA VEDICS,B0CT88JL24,1684800,2592,1300
Rosemary,INDUS VALLEY,B01N1Z7A03,378875,2165,1312
Rosemary,OxyLife,B009SOS7ZE,929271,2603,1341
Rosemary,Parachute Advansed,B07DCZGTXP,278690,1798,1351
Rosemary,Phillauri,B0CFLVWR34,1268657,4243,1361
Rosemary,Parachute Advansed,B07WLDJS3L,355884,2524,1424
Rosemary,DABUR,B0B283MT3P,480420,942,1430
Rosemary,Lim-style,B09BMD8SFV,652418,2182,1431
Rosemary,Organic 100%,B0CJ7TZX11,1034580,8020,1449
Rosemary,Khadi Natural,B008KH6DDI,324356,2476,1454
