word,brand,frequency,analysis
could,HUL Pureit,19,Negative
day,KENT,19,Negative
design,Aquaguard,19,Positive
done,KENT,19,Positive
easy,AO Smith,19,Positive
easy,Kinsco,19,Positive
ever,KENT,19,Negative
excellent,AO Smith,19,Positive
filter,Havells,19,Negative
filtration,RAMA,19,Positive
free,Aquaguard,19,Positive
great,KENT,19,Positive
install,Aquaguard,19,Negative
issue,KENT,19,Positive
issue,Livpure,19,Positive
it’s,KENT,19,Negative
like,HUL Pureit,19,Positive
money,Havells,19,Positive
money,Livpure,19,Positive
months,HUL Pureit,19,Positive
months,Kinsco,19,Positive
person,Aquaguard,19,Negative
please,Aquaguard,19,Negative
price,Havells,19,Positive
product,Aquadpure,19,Positive
range,PROVEN,19,Positive
return,KENT,19,Negative
sales,Aquaguard,19,Negative
service,Kinsco,19,Negative
since,Aquaguard,19,Positive
support,Aquaguard,19,Negative
taste,Native by UC,19,Positive
tds,KENT,19,Negative
technician,PROVEN,19,Positive
uf,KENT,19,Positive
use,Kinsco,19,Positive
water,AO Smith,19,Negative
water,Kinsco,19,Negative
worth,PROVEN,19,Positive
&,Aquaguard,18,Negative
2,HUL Pureit,18,Positive
best,KENT,18,Positive
buy,HUL Pureit,18,Negative
care,KENT,18,Positive
change,Aquaguard,18,Negative
could,Kinsco,18,Positive
excellent,PROVEN,18,Positive
experience,HUL Pureit,18,Positive
explained,V-Guard,18,Positive
family,Aquaguard,18,Positive
fast,Aquaguard,18,Positive
go,KENT,18,Positive
got,Aquaguard,18,Negative
great,Native by UC,18,Positive
hot,AO Smith,18,Positive
issue,KENT,18,Negative
like,AO Smith,18,Positive
like,Livpure,18,Positive
livepure,Livpure,18,Negative
machine,HUL Pureit,18,Positive
month,KENT,18,Positive
much,Aquaguard,18,Positive
one,RAMA,18,Positive
pay,Aquaguard,18,Negative
peore,PEORE,18,Positive
perfectly,Aquaguard,18,Positive
person,Aquaguard,18,Positive
problem,Livpure,18,Negative
product,AO Smith,18,Negative
product,Aquaguard,18,Neutral
product,PROVEN,18,Negative
quality,Generic,18,Positive
replacement,HUL Pureit,18,Negative
said,KENT,18,Negative
see,Aquaguard,18,Positive
service,AQUA D PURE,18,Negative
