asin,sales,date
B0BWHVN3NP,284350,17-04-2024
B0CNX8QFXM,241580,17-04-2024
B07DD53533,230625,17-04-2024
B09N3CF39D,724284,17-04-2024
B0B8J3VRQD,186110,17-04-2024
B08MF7X3V9,1065864,17-04-2024
B092MLTRNL,292895,17-04-2024
B08R7BCV1V,96327,17-04-2024
B0BC3NZ9LH,427340,17-04-2024
B01IHYUFKU,426904,17-04-2024
B0BWHSNCX4,204085,17-04-2024
B0CNX7RZ5C,172040,17-04-2024
B09N1QFF9H,226875,17-04-2024
B09LYPK8L7,178007,17-04-2024
B079H9165M,35904,17-04-2024
B00FYWZE96,10435,17-04-2024
B09PV4Y6DP,164241,17-04-2024
B00Q4TBM7G,200200,17-04-2024
B01LN5RJD6,214200,17-04-2024
B087BMT92R,263465,17-04-2024
B09NLZPZHR,302940,17-04-2024
B01F7ECW6I,114080,17-04-2024
B0C43JR1PH,491700,17-04-2024
B09FKCG4QD,893998,17-04-2024
B0BWHSVGLL,111690,17-04-2024
B07N2NMP3N,253175,17-04-2024
B07J9JFYY6,169946,17-04-2024
B0CT8YCRZX,163520,17-04-2024
B08H3J9GQ1,0,17-04-2024
B07CVXB6XS,277125,17-04-2024
B08J7DN5T3,481140,17-04-2024
B0CNX7MP12,135360,17-04-2024
B09P68XL97,235630,17-04-2024
B092MKXLFC,155650,17-04-2024
B09YQHY432,463200,17-04-2024
B00M57TY9Y,29524,17-04-2024
B08537R73F,19998,17-04-2024
B07MGR66FY,60390,17-04-2024
B00L924APY,2100,17-04-2024
B07K4F8GNM,126765,17-04-2024
B0C2Z61MK9,87690,17-04-2024
B07GSWZT49,583775,17-04-2024
B09J19CPK7,309894,17-04-2024
B0CG991VFH,0,17-04-2024
B0BBW1Y387,99396,17-04-2024
B0CDV6DG3C,452697,17-04-2024
B018KP16PY,96475,17-04-2024
B00M57TWBE,101601,17-04-2024
B08MCCNLNC,139788,17-04-2024
B0CD1L636Q,114733,17-04-2024
B0BPQY8R54,741000,17-04-2024
B00PAGNFGK,39780,17-04-2024
B081NDKWJ8,1131724,17-04-2024
B07DY6CFG1,620135,17-04-2024
B074KGCCWM,34880,17-04-2024
B097PH5FRF,304428,17-04-2024
B08GK2F1DB,61740,17-04-2024
B0BWHS5MGB,107355,17-04-2024
B0B5ZNQB31,301098,17-04-2024
B08C2MTK15,82095,17-04-2024
B08MF6JKN4,2361776,17-04-2024
B01NCWQ5DG,64935,17-04-2024
B092JPT8QK,567696,17-04-2024
B07T3RB539,2927509,17-04-2024
B0B725KW8N,3609738,17-04-2024
B01NCRLSB1,345625,17-04-2024
B0BD5PHLQZ,1971515,17-04-2024
B0CNX8GQ1J,367268,17-04-2024
B07RJWVQXL,578200,17-04-2024
B00L2K9DM8,3329050,17-04-2024
B0CNX8QFXM,241580,17-04-2024
B018S3KGWW,164700,17-04-2024
B0CQM21444,58320,17-04-2024
B0CNX7RZ5C,172040,17-04-2024
B09N1QFF9H,226875,17-04-2024
B0CWH4NT7V,361114,17-04-2024
B09Y68S6ZH,264528,17-04-2024
B01F7ECW6I,114080,17-04-2024
B0C43JR1PH,491700,17-04-2024
B0CZ6RZQ3Q,0,17-04-2024
B0CNX7MP12,135360,17-04-2024
B09Y68K3V4,81844,17-04-2024
B09Y6BQVXC,154475,17-04-2024
B0CQM2YPFF,30600,17-04-2024
B0CQM2BD5J,275,17-04-2024
B0CQM3Q2TZ,4950,17-04-2024
B0CW2XS1Q2,0,17-04-2024
B0C2KT933V,553307,17-04-2024
