Year,Month,asin,brand,pageResult,Price,Mrp,title
2024,August,B0CHF2Y2GS,Faber,2,6490,14990,"Faber CUV 8000 Water Purifier | UV+UF+Cu Guard |7L Tank, 7 Stage Filtration, Pre & Post Carbon| Not Suitable for Borewell/Tanker Water| Pressure & Purification Indicator | Upto 200 TDS | (Black)"
2024,June,B08KFRFSP9,Faber,3,10200,20490,"Faber Neutron pro RO + UV + MAT +Copper Guard + PH Enhancer, 10lts, Suitable Upto 2500 TDS"
2024,June,B07R27J1YS,Hamilton Beach Professional,3,19990,30000,"Hamilton Beach Professional Juicer Mixer Grinder 58770-IN, 1400 Watt Rated Motor, Triple Overload Protection, 3 Stainless Steel Leakproof Jars, Triple Safety Protection, Intelligent Controls, Black"
2024,June,B0B4981KGD,Havells,1,7998,15999,"Havells AQUAS Water Purifier (White and Blue), RO+UF, Copper+Zinc+Minerals, 5 stage Purification, 7L Tank, Suitable for Borwell, Tanker & Municipal Water"
2024,August,B0B4981KGD,Havells,1,8049,15999,"Havells AQUAS Water Purifier (White and Blue), RO+UF, Copper+Zinc+Minerals, 5 stage Purification, 7L Tank, Suitable for Borwell, Tanker & Municipal Water"
2024,September,B0B4981KGD,Havells,1,7899,17499,"Havells AQUAS Water Purifier (White and Blue), RO+UF, Copper+Zinc+Minerals, 5 stage Purification, 7L Tank, Suitable for Borwell, Tanker & Municipal Water"
2024,June,B0872HNF94,Havells,2,2549,4695,"Havells Capture 500W 3 Jar Mixer Grinder, High Speed 21000 RPM Motor, 304 SS Blades, 5 Years Motor Warranty with Overload Protector, 1.5 Ltr Bigger Size Blending Jar I (Grey & Green)"
2024,June,B0CKVLCMJZ,Havells,2,12900,25000,"Havells Delite Kop'ere Water Purifier (Black), RO+UV+pH Balance, 7 Stages, 6.5L Stainless Steel Tank,Copper+Zinc+Minerals, Suitable for Borwell, Tanker & Municipal Water"
2024,August,B0CKVLCMJZ,Havells,3,12950,25000,"Havells Delite Kop'ere Water Purifier (Black), RO+UV+pH Balance, 7 Stages, 6.5L Stainless Steel Tank,Copper+Zinc+Minerals, Suitable for Borwell, Tanker & Municipal Water"
2024,September,B0CKVLCMJZ,Havells,2,12990,28500,"Havells Delite Kop'ere Water Purifier (Black), RO+UV+pH Balance, 7 Stages, 6.5L Stainless Steel Tank,Copper+Zinc+Minerals, Suitable for Borwell, Tanker & Municipal Water"
2024,September,B0CKVLCMJZ,Havells,3,12990,28500,"Havells Delite Kop'ere Water Purifier (Black), RO+UV+pH Balance, 7 Stages, 6.5L Stainless Steel Tank,Copper+Zinc+Minerals, Suitable for Borwell, Tanker & Municipal Water"
2024,June,B0BYZV211V,Havells,1,3299,6190,"Havells ESO 750 watts 3 JAR Mixer Grinder, 304 SS Blades, High Speed 21000 RPM motor, Heavy and Wider mouth SS Jars, All Jars with Handle, 2 Year Product & 5 Year Motor Warranty (Teal) | ABS"
2024,June,B0BYZV211V,Havells,3,3299,6190,"Havells ESO 750 watts 3 JAR Mixer Grinder, 304 SS Blades, High Speed 21000 RPM motor, Heavy and Wider mouth SS Jars, All Jars with Handle, 2 Year Product & 5 Year Motor Warranty (Teal) | ABS"
2024,June,B08DNVZN36,Havells,1,9998,21229,"Havells Fab Alkaline Water Purifier (White & Sky Blue), RO+UV+Alkaline, Filter Alert, Copper+Zinc+Minerals, 7 Stage Purification, 7L Tank, Suitable for Borwell, Tanker & Municipal Water"
2024,August,B08DNVZN36,Havells,1,10499,21229,"Havells Fab Alkaline Water Purifier (White & Sky Blue), RO+UV+Alkaline, Filter Alert, Copper+Zinc+Minerals, 7 Stage Purification, 7L Tank, Suitable for Borwell, Tanker & Municipal Water"
2024,September,B08DNVZN36,Havells,2,9999,21229,"Havells Fab Alkaline Water Purifier (White & Sky Blue), RO+UV+Alkaline, Filter Alert, Copper+Zinc+Minerals, 7 Stage Purification, 7L Tank, Suitable for Borwell, Tanker & Municipal Water"
2024,June,B09DLK4LKX,Havells,3,8998,20418,"Havells Fab Water Purifier (White & Grey), RO+UV, Filter alert, Patented corner mounting, Copper+Zinc+pH Balance+Minerals, 7 stage Purification, 7L, Suitable for Borwell, Tanker & Municipal Water"
2024,August,B09DLK4LKX,Havells,2,7999,20418,"Havells Fab Water Purifier (White & Grey), RO+UV, Filter alert, Patented corner mounting, Copper+Zinc+pH Balance+Minerals, 7 stage Purification, 7L, Suitable for Borwell, Tanker & Municipal Water"
2024,September,B09DLK4LKX,Havells,2,7999,20418,"Havells Fab Water Purifier (White & Grey), RO+UV, Filter alert, Patented corner mounting, Copper+Zinc+pH Balance+Minerals, 7 stage Purification, 7L, Suitable for Borwell, Tanker & Municipal Water"
2024,June,B0CJR4LQ9V,Havells,3,19999,37000,"Havells Gracia FAB Alkaline Water Purifier (Black), RO+UV+Alkaline, Hot, Warm & Ambient Water, Copper+Zinc+Minerals, 8 Stage Purification, 6.5L SS Tank, Suitable for Borwell, Tanker & Municipal Water"
